id,input_text,perceived_mood,indicators,suggested_reply,suggested_actions,confidence_score
446,Feeling anxious about meeting new people,anxious,anxious;परेशान,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.9
447,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,ghabraahat;heart racing,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.87
448,मुझे बहुत खुशी हो रही है आज,happy,amazing;joy,"बहुत अच्छा, खुश रहो!",Celebrate the positive moments; share gratitude.,0.79
449,"Deadlines are piling up, I feel like I’ll collapse",stressed,संभाल;overload,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.8
450,Feeling anxious about meeting new people,anxious,heart racing;ghabraahat,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Practice deep breathing or mindfulness exercises.,0.83
451,Ready to tackle all my assignments,motivated,enthusiastic;energy,"उत्साह बढ़िया है, बढ़िया काम करो!",Plan milestones; reward yourself after completion.,0.93
452,"Deadlines are piling up, I feel like I’ll collapse",stressed,pressure;deadlines,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.97
453,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,goal;drive,Chunk tasks into milestones; reward yourself after completion.,Plan milestones; reward yourself after completion.,0.8
454,"Attending usual lectures, nothing new",neutral,ordinary;सामान्य,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.75
455,Ready to tackle all my assignments,motivated,उत्साहित;energy,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.96
456,Working on routine assignments,neutral,सामान्य;nothing special,Got it — sounds like a steady day.,Reflect on small achievements.,0.76
457,मुझे लगता है कि सब बेकार है,depressed,tired;hopeless,Consider reaching out to someone you trust or a small enjoyable activity.,Engage in one small enjoyable activity today.,0.81
458,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,worried;ghabraahat,Try grounding techniques or a 5-min break to calm down.,Write down worries to release them from mind.,0.85
459,I can achieve my goals if I work hard,motivated,goal;उत्साहित,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.87
460,Everything feels meaningless and dark,depressed,बेकार;tired,I'm here for you — it sounds heavy.,Journal feelings to reflect and lighten mental load.,0.9
461,I'm tired all the time and don't want to do anything,depressed,tired;hopeless,Consider reaching out to someone you trust or a small enjoyable activity.,Engage in one small enjoyable activity today.,0.79
462,My heart is racing thinking about the exam,anxious,worried;nervous,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.74
463,"Attending usual lectures, nothing new",neutral,usual;ordinary,Keep routines balanced and maybe add something fun.,Stay balanced; hydrate and rest.,0.82
464,Working on routine assignments,neutral,nothing special;ordinary,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.84
465,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,ghabraahat;heart racing,Try grounding techniques or a 5-min break to calm down.,Practice deep breathing or mindfulness exercises.,0.95
466,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,overload;संभाल,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Seek support if overwhelmed; focus on one step at a time.,0.85
467,"Attending usual lectures, nothing new",neutral,nothing special;सामान्य,"ठीक है, दिन सामान्य रहा।",Reflect on small achievements.,0.94
468,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,routine;usual,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.78
469,I don't see the point in anything anymore,depressed,tired;dark,I'm here for you — it sounds heavy.,Reach out to a trusted friend or counselor.,0.86
470,Working on routine assignments,neutral,usual;routine,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.78
471,"I got an A on my exam, feeling amazing!",happy,well-being;joy,Capture gratitude in a quick note; enjoy the moment.,Enjoy the good day fully; connect with loved ones.,0.86
472,"Classes were normal today, nothing much happened",neutral,nothing special;ordinary,"ठीक है, दिन सामान्य रहा।",Maintain routines; maybe add a small fun activity.,0.83
473,मुझे लगता है कि सब बेकार है,depressed,बेकार;hopeless,I'm here for you — it sounds heavy.,Engage in one small enjoyable activity today.,0.94
474,"I got an A on my exam, feeling amazing!",happy,enjoyed;well-being,Capture gratitude in a quick note; enjoy the moment.,Enjoy the good day fully; connect with loved ones.,0.75
475,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,nervous;worried,Try grounding techniques or a 5-min break to calm down.,Write down worries to release them from mind.,0.85
476,Everything is going well in life,happy,friends;amazing,Capture gratitude in a quick note; enjoy the moment.,Enjoy the good day fully; connect with loved ones.,0.78
477,I'm tired all the time and don't want to do anything,depressed,meaningless;hopeless,I'm here for you — it sounds heavy.,Reach out to a trusted friend or counselor.,0.97
478,I don't see the point in anything anymore,depressed,meaningless;lonely,I'm here for you — it sounds heavy.,Engage in one small enjoyable activity today.,0.91
479,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,heart racing;nervous,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.78
480,"Attending usual lectures, nothing new",neutral,सामान्य;routine,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.82
481,I can achieve my goals if I work hard,motivated,excited;enthusiastic,"उत्साह बढ़िया है, बढ़िया काम करो!",Channel energy into tasks efficiently.,0.79
